SMILES,pIC50_JAK1,JAK2,pIC50_JAK2,JAK2,JAK2_true,JAK3,pIC50_JAK3,JAK3_true,TYK2,pIC50_TYK2,TYK2_true
N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,,0.036,1.443697499,0.036,1,2,-0.301029996,1,0.9,0.045757491,1
CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,,0.58,0.236572006,0.58,1,0.16,0.795880017,1,4.8,-0.681241237,1
CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3ncc(C#N)[nH]3)c(C3=CCCCC3)c2)CC1,,9.9,-0.995635195,9.9,1,18,-1.255272505,1,5.8,-0.763427994,1
CC12OC(CC1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,,3.7,-0.568201724,3.7,1,2.3,-0.361727836,1,15,-1.176091259,1
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,,1.1,-0.041392685,1.1,1,74,-1.86923172,1,21,-1.322219295,1
COC(=O)c1ccc2c(C(=Nc3ccc(N(C)C(=O)CN4CCN(C)CC4)cc3)c3ccccc3)c(O)[nH]c2c1,,14,-1.146128036,14,1,8.2,-0.913813852,1,37,-1.568201724,1
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,9.8,-0.991226076,9.8,1,12,-1.079181246,1,56,-1.748188027,1
CC(O)C(=O)O.CN1CCN(c2ccc3nc(C4C(=N)c5c(F)cccc5NC4=O)[nH]c3c2)CC1,,130,-2.113943352,130,1,410,-2.612783857,1,150,-2.176091259,1
O=C(c1ccc(C=Cc2n[nH]c3ccccc23)cc1)N1CCNCC1,,76,-1.880813592,76,1,39,-1.591064607,1,160,-2.204119983,1
CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)C(O)C1,,5500,-3.740362689,5500,0,1600,-3.204119983,0,180,-2.255272505,1
COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC.O=S(=O)(O)c1ccccc1,,3.5,-0.544068044,3.5,1,36,-1.556302501,1,190,-2.278753601,1
CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,,290,-2.462397998,290,1,200,-2.301029996,1,210,-2.322219295,1
COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,94,-1.973127854,94,1,12,-1.079181246,1,250,-2.397940009,1
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,,11,-1.041392685,11,1,86,-1.934498451,1,280,-2.447158031,1
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,,,,,,,,,410,-2.612783857,1
CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,,100,-2,100,1,510,-2.707570176,1,430,-2.633468456,1
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,,190,-2.278753601,190,1,630,-2.799340549,1,510,-2.707570176,1
CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,,410,-2.612783857,410,1,1200,-3.079181246,0,1600,-3.204119983,0
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,,910,-2.959041392,910,1,260,-2.414973348,1,1800,-3.255272505,0
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,,1000,-3,1000,1,640,-2.806179974,1,1800,-3.255272505,0
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,,1700,-3.230448921,1700,0,6900,-3.838849091,0,3400,-3.531478917,0
CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1,,3300,-3.51851394,3300,0,3100,-3.491361694,0,3600,-3.556302501,0
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,,1500,-3.176091259,1500,0,,,,5000,-3.698970004,0
Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1,,1600,-3.204119983,1600,0,580,-2.763427994,1,5100,-3.707570176,0
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,1100,-3.041392685,1100,0,1200,-3.079181246,0,6500,-3.812913357,0
Cc1[nH]c(C=C2C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCCC1CN1CCCC1,,430,-2.633468456,430,1,470,-2.672097858,1,,,
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,,,,,,630,-2.799340549,1,,,
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,3700,-3.568201724,3700,0,700,-2.84509804,1,,,
CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,,,,,,1200,-3.079181246,0,,,
Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12,,,,,,1500,-3.176091259,0,,,
Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,,,,,,1700,-3.230448921,0,,,
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,,,,,,2000,-3.301029996,0,,,
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,,,,,,7300,-3.86332286,0,,,
